predict_date,class_id,predict_quantity
201711,103507,200
201711,124140,283
201711,125403,176
201711,136916,182
201711,169673,172
201711,175962,257
201711,178529,168
201711,186250,103
201711,194201,398
201711,194450,291
201711,198427,119
201711,206765,2077
201711,209945,111
201711,219195,145
201711,221795,411
201711,245609,141
201711,248352,280
201711,249875,158
201711,250658,207
201711,265980,224
201711,270690,615
201711,281301,349
201711,281792,501
201711,289386,461
201711,289403,292
201711,290854,225
201711,291086,340
201711,291514,70
201711,302513,190
201711,304458,393
201711,308913,159
201711,321683,2206
201711,340175,133
201711,347384,2918
201711,348641,360
201711,349023,961
201711,350259,597
201711,354068,480
201711,356986,496
201711,359378,84
201711,360648,180
201711,376193,110
201711,378356,442
201711,378536,125
201711,379265,334
201711,379876,153
201711,384924,785
201711,392593,213
201711,395234,122
201711,401052,154
201711,409854,1695
201711,412240,88
201711,416749,221
201711,417803,136
201711,425432,1868
201711,436105,451
201711,437063,115
201711,437598,86
201711,453752,210
201711,468392,166
201711,472603,104
201711,475895,117
201711,481950,171
201711,482497,197
201711,492952,170
201711,496459,404
201711,501564,169
201711,510309,114
201711,516750,73
201711,526401,405
201711,527765,85
201711,527809,174
201711,540712,355
201711,559132,124
201711,560265,95
201711,569154,379
201711,576298,194
201711,580470,428
201711,580634,268
201711,587678,175
201711,591790,215
201711,597927,160
201711,603972,434
201711,612523,133
201711,614059,346
201711,619401,412
201711,621073,1082
201711,628041,766
201711,649213,127
201711,651347,243
201711,651782,100
201711,653436,191
201711,654134,534
201711,671482,108
201711,682651,301
201711,683364,104
201711,687270,435
201711,692703,571
201711,693436,162
201711,713651,212
201711,714150,210
201711,714152,451
201711,714860,158
201711,725137,109
201711,732758,181
201711,735971,2032
201711,736094,254
201711,739296,836
201711,741152,600
201711,743957,701
201711,745137,872
201711,750340,115
201711,760412,86
201711,786351,124
201711,789290,97
201711,810398,134
201711,815230,188
201711,819061,114
201711,842246,141
201711,851857,177
201711,854079,182
201711,854548,142
201711,861459,272
201711,871642,175
201711,872180,147
201711,883691,274
201711,890189,1322
201711,905061,383
201711,905745,203
201711,914348,503
201711,923841,662
201711,924154,1212
201711,948936,95
201711,950264,1251
201711,953842,1081
201711,961362,93
201711,961962,100
201711,963845,227
201711,973106,128
201711,978089,420
