predict_date,class_id,predict_quantity
201711,103507,186
201711,124140,285
201711,125403,328
201711,136916,179
201711,169673,219
201711,175962,260
201711,178529,165
201711,186250,83
201711,194201,517
201711,194450,307
201711,198427,125
201711,206765,2347
201711,209945,273
201711,219195,160
201711,221795,445
201711,245609,143
201711,248352,269
201711,249875,147
201711,250658,288
201711,265980,461
201711,270690,806
201711,281301,584
201711,281792,599
201711,289386,577
201711,289403,299
201711,290854,393
201711,291086,376
201711,291514,95
201711,302513,231
201711,304458,605
201711,308913,146
201711,321683,2305
201711,340175,244
201711,347384,3183
201711,348641,405
201711,349023,941
201711,350259,640
201711,354068,920
201711,356986,623
201711,359378,112
201711,360648,170
201711,376193,133
201711,378356,422
201711,378536,105
201711,379265,355
201711,379876,140
201711,384924,825
201711,392593,239
201711,395234,121
201711,401052,201
201711,409854,1807
201711,412240,88
201711,416749,310
201711,417803,170
201711,425432,2157
201711,436105,455
201711,437063,257
201711,437598,139
201711,453752,381
201711,468392,242
201711,472603,143
201711,475895,119
201711,481950,152
201711,482497,336
201711,492952,261
201711,496459,480
201711,501564,252
201711,510309,171
201711,516750,74
201711,526401,402
201711,527765,94
201711,527809,305
201711,540712,390
201711,559132,221
201711,560265,88
201711,569154,386
201711,576298,293
201711,580470,432
201711,580634,294
201711,587678,359
201711,591790,359
201711,597927,251
201711,603972,511
201711,612523,198
201711,614059,528
201711,619401,431
201711,621073,1137
201711,628041,772
201711,649213,122
201711,651347,312
201711,651782,133
201711,653436,220
201711,654134,654
201711,671482,115
201711,682651,449
201711,683364,106
201711,687270,459
201711,692703,580
201711,693436,249
201711,713651,378
201711,714150,250
201711,714152,722
201711,714860,217
201711,725137,134
201711,732758,322
201711,735971,2881
201711,736094,252
201711,739296,834
201711,741152,670
201711,743957,730
201711,745137,911
201711,750340,152
201711,760412,79
201711,786351,117
201711,789290,85
201711,810398,180
201711,815230,198
201711,819061,172
201711,842246,205
201711,851857,255
201711,854079,356
201711,854548,136
201711,861459,275
201711,871642,173
201711,872180,161
201711,883691,276
201711,890189,1372
201711,905061,589
201711,905745,201
201711,914348,650
201711,923841,713
201711,924154,1374
201711,948936,109
201711,950264,1588
201711,953842,1365
201711,961362,104
201711,961962,122
201711,963845,242
201711,973106,235
201711,978089,401
